case,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,v,ResAtten-PINN,5.679081368725747e-05,0.007535967975854874,0.006346818525344133,0.9043160676956177,63899.59375,0.017503591254353523,0.006346818525344133,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,v,ResAtten-PINN,7.351777458097786e-05,0.00857425108551979,0.006728649139404297,1.0289100408554077,36351.7421875,0.03250637650489807,0.006728649139404297,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,v,LSTM-PINN,1.1670569620036986e-05,0.0034162215888500214,0.0028113960288465023,0.409946471452713,409946488832.0,0.007784664630889893,0.0028113960288465023,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,v,LSTM-PINN,6.289462180575356e-05,0.007930613122880459,0.006121270824223757,0.9516734480857849,67245.8984375,0.01994195394217968,0.006121270824223757,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,v,LSTM-PINN,6.786927406210452e-05,0.00823828112334013,0.006581878289580345,0.9885936379432678,34927.3515625,0.037614062428474426,0.006581878289580345,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,v,DP-PINN,5.807517300127074e-05,0.0076207066886126995,0.006329135969281197,0.9144847989082336,914484822016.0,0.029723092913627625,0.006329135969281197,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,v,DP-PINN,2.4586084691691212e-05,0.004958435893058777,0.003911715932190418,0.5950121283531189,42043.96484375,0.02054259181022644,0.003911715932190418,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,v,DP-PINN,0.0004160880926065147,0.02039823681116104,0.01550373900681734,2.4477884769439697,86481.203125,0.11089280992746353,0.01550373900681734,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,v,Causal-PINN,0.00026424822863191366,0.016255713999271393,0.012909015640616417,1.9506856203079224,1950685593600.0,0.036723919212818146,0.012909015640616417,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,v,Causal-PINN,0.0002985665632877499,0.01727907918393612,0.014097419567406178,2.073489189147949,146514.171875,0.039279136806726456,0.014097419567406178,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
