case,time,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
TGV,2.5,speed,PirateNet,4.134955815970898e-06,0.0020334590765419642,0.0016760453581809998,0.16267672181129456,0.03503648399089909,0.0068932450376451015,0.0016760453581809998,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\TGV算例\TGV\PirateNet\metrics\field_metrics.csv
RBC,1.0,u,PINN,7.517189806094393e-05,0.008670172654092312,0.006137747783213854,1.0404207706451416,73516.8515625,0.025505507364869118,0.006137747783213854,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,1.0,u,ResAtten-PINN,0.0001404762442689389,0.011852267198264599,0.010590121150016785,1.422271966934204,100498.7265625,0.02531510777771473,0.010590121150016785,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,1.0,u,LSTM-PINN,3.125368675682694e-05,0.005590499844402075,0.00438311044126749,0.6708599925041199,47403.43359375,0.016968144103884697,0.00438311044126749,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,1.0,u,DP-PINN,4.923127926304005e-05,0.0070165004581213,0.005921585485339165,0.8419799208641052,59494.88671875,0.02341437339782715,0.005921585485339165,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,1.0,u,Causal-PINN,0.0003624808741733432,0.019038930535316467,0.014769691042602062,2.2846717834472656,161436.5,0.05583691596984863,0.014769691042602062,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,1.0,u,Param-ANN-PINN,4.533394894679077e-05,0.006733049172908068,0.005878174677491188,0.8079656958580017,57091.41796875,0.015571411699056625,0.005878174677491188,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,1.0,u,PirateNet,2.0277451767469756e-05,0.004503049422055483,0.003442061133682728,0.540365993976593,38182.63671875,0.01182592660188675,0.003442061133682728,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,1.0,v,PINN,5.9385864005889744e-05,0.007706222590059042,0.006208012346178293,0.9247468113899231,65343.2421875,0.02000565268099308,0.006208012346178293,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,1.0,v,ResAtten-PINN,5.679081368725747e-05,0.007535967975854874,0.006346818525344133,0.9043160676956177,63899.59375,0.017503591254353523,0.006346818525344133,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
